ST	emm
emm100.0	emm100.0
emm100.1	emm100.1
emm100.2	emm100.2
emm100.3	emm100.3
emm100.4	emm100.4
emm100.5	emm100.5
emm100.7	emm100.7
emm101.0	emm101.0
emm101.1	emm101.1
emm101.2	emm101.2
emm101.3	emm101.3
emm101.4	emm101.4
emm101.5	emm101.5
emm101.6	emm101.6
emm101.7	emm101.7
emm102.0	emm102.0
emm102.1	emm102.1
emm102.2	emm102.2
emm102.3	emm102.3
emm102.4	emm102.4
emm102.5	emm102.5
emm102.6	emm102.6
emm102.7	emm102.7
emm103.0	emm103.0
emm103.1	emm103.1
emm104.0	emm104.0
emm104.1	emm104.1
emm105.0	emm105.0
emm106.0	emm106.0
emm106.1	emm106.1
emm106.2	emm106.2
emm106.3	emm106.3
emm107.0	emm107.0
emm107.1	emm107.1
emm108.0	emm108.0
emm108.1	emm108.1
emm109.0	emm109.0
emm109.1	emm109.1
emm1.0	emm1.0
emm110.0	emm110.0
emm110.1	emm110.1
emm110.2	emm110.2
emm110.3	emm110.3
emm110.4	emm110.4
emm110.5	emm110.5
emm110.6	emm110.6
emm110.7	emm110.7
emm1.10	emm1.10
emm11.0	emm11.0
emm11.10	emm11.10
emm111.0	emm111.0
emm11.11	emm11.11
emm111.1	emm111.1
emm11.12	emm11.12
emm111.2	emm111.2
emm11.13	emm11.13
emm11.14	emm11.14
emm11.15	emm11.15
emm11.16	emm11.16
emm11.17	emm11.17
emm11.18	emm11.18
emm1.11	emm1.11
emm11.1	emm11.1
emm112.0	emm112.0
emm112.1	emm112.1
emm112.2	emm112.2
emm112.3	emm112.3
emm112.4	emm112.4
emm1.12	emm1.12
emm11.2	emm11.2
emm113.0	emm113.0
emm113.1	emm113.1
emm113.2	emm113.2
emm1.13	emm1.13
emm11.3	emm11.3
emm114.0	emm114.0
emm114.1	emm114.1
emm114.2	emm114.2
emm114.3	emm114.3
emm114.4	emm114.4
emm114.5	emm114.5
emm114.6	emm114.6
emm1.14	emm1.14
emm11.4	emm11.4
emm115.0	emm115.0
emm115.1	emm115.1
emm1.15	emm1.15
emm11.5	emm11.5
emm116.0	emm116.0
emm116.1	emm116.1
emm116.2	emm116.2
emm116.3	emm116.3
emm116.4	emm116.4
emm1.16	emm1.16
emm11.6	emm11.6
emm117.0	emm117.0
emm117.1	emm117.1
emm1.17	emm1.17
emm11.7	emm11.7
emm118.0	emm118.0
emm118.1	emm118.1
emm118.2	emm118.2
emm118.3	emm118.3
emm118.4	emm118.4
emm118.5	emm118.5
emm118.6	emm118.6
emm118.7	emm118.7
emm118.8	emm118.8
emm118.9	emm118.9
emm1.18	emm1.18
emm11.8	emm11.8
emm119.0	emm119.0
emm119.1	emm119.1
emm119.2	emm119.2
emm119.3	emm119.3
emm119.4	emm119.4
emm119.5	emm119.5
emm1.19	emm1.19
emm11.9	emm11.9
emm120.0	emm120.0
emm1.20	emm1.20
emm12.0	emm12.0
emm12.10	emm12.10
emm121.0	emm121.0
emm12.11	emm12.11
emm121.1	emm121.1
emm12.12	emm12.12
emm12.13	emm12.13
emm12.14	emm12.14
